ref	nazva	rik	arkhiv	fond	opys	sprava	url
adm-makariv-istoriia-2017	«Історія с. Андріївка», сторінка сайту Макарівської районної адміністрації adm-makariv.gov.ua	2017					https://web.archive.org/web/20170228045343/http://adm-makariv.gov.ua/index.php?option=com_content&view=article&id=152
adm-makariv-istoriia-mostyshche	«Історія с. Мостище», сторінка сайту Макарівської районної державної адміністрації adm-makariv.gov.ua (опубліковано 22.04.2011)	2011					https://web.archive.org/web/20170301022108/http://adm-makariv.gov.ua/index.php?option=com_content&view=article&id=237
aiuzr-1-4-1871	Архив Юго-Западной России. Ч. 1, т. 4: Акты объ уніи и состояніи православной церкви съ половины XVII вѣка (1648-1798). Київ, 1871	1871					https://commons.wikimedia.org/wiki/Category:Archive_of_South-West_Russia
aiuzr-3-1-1863	«Архивъ Юго-Западной Россіи». Часть 3, томъ 1: «Акты о козакахъ» (1500-1648). Кіевъ, 1863	1863					https://archive.org/details/aruzr-3-1
aiuzr-3-3-1876	«Архивъ Юго-Западной Россіи». Часть 3, томъ 3: «Акты о гайдамакахъ» (1700-1768). Кіевъ, 1876 (ред. і передмова В. Б. Антоновича)	1876					https://archive.org/details/aruzr3-3
aiuzr-7-3-1905	Архив Юго-Западной России, издаваемый Временною комиссиею для разбора древних актов. Часть VII, том III. Акты о заселеніи Южной Россіи XVI-XVIII в.в. Київ, 1905	1905					https://commons.wikimedia.org/wiki/File:%D0%90%D1%80%D1%85%D0%B8%D0%B2_%D0%AE%D0%B3%D0%BE-%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D0%BE%D0%B9_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%B8%D0%B7%D0%B4%D0%B0%D0%B2%D0%B0%D0%B5%D0%BC%D1%8B%D0%B9_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D1%8E_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%B5%D1%8E_%D0%B4%D0%BB%D1%8F_%D1%80%D0%B0%D0%B7%D0%B1%D0%BE%D1%80%D0%B0_%D0%B4%D1%80%D0%B5%D0%B2%D0%BD%D0%B8%D1%85_%D0%B0%D0%BA%D1%82%D0%BE%D0%B2_%D0%A7%D0%B0%D1%81%D1%82%D1%8C_7_%D0%A2%D0%BE%D0%BC_3_.pdf
andriivska-rada-hedz	Гедз В. З глибин історії: село Андріївка	2019					http://andriivska.rada.arhiv.org.ua/selo-andriivka-15-06-58-28-02-2019
antonovych-1895	Антонович В. Б. Археологическая карта Кіевской губерніи. Приложеніе къ XV т. «Древностей». Москва, 1895	1895					https://archive.org/details/libgen_00326220
archium-dako	ARCHIUM ДАКО, повнотекстовий пошук по порталу						https://archium.dako.gov.ua/search?q=Козичанка&search_type=digitized
archium-p4373	Первинна організація Компартії України Кодрянського торфопідприємства, Макарівський район	1945-1981	ДАКО	П-4373			https://archium.dako.gov.ua/fonds/7816/
archium-p5060	Первинна організація Компартії України колгоспу «Україна», с. Забуяння	1946-1952	ДАКО	П-5060			https://archium.dako.gov.ua/inventories/11044/
archium-yasnohorodka	ARCHIUM, каталог оцифрованих справ Державного архіву Київської області: фонди, описи й справи з Ясногородкою		ДАКО				https://archium.dako.gov.ua/search?q=Ясногородка&search_type=digitized
arkhivy-ukrainy-1969	«Архіви України», науково-практичний журнал Головархіву УРСР						https://libraria.ua/
arkhivy-ukrainy-1970	«Архіви України», науково-інформаційний бюлетень, 1970, № 2 (1 березня)	1970					https://libraria.ua/issues/1288/103546/
arkhivy-ukrainy-1998	Архіви України, № 1, 1998, с. 169: некролог Онисії Кіндратівни Попової	1998					https://libraria.ua/issues/1288/103672/?PageNumber=169&ArticleId=3470784
armyinform-2023	АрміяInform, репортаж про памʼятник біля церкви в с. Липівка й про Віталія Кайгородова	2023					https://armyinform.com.ua/2023/04/07/na-kyyivshhyni-vstanovyly-pamyatnyk-zagyblym-v-boyu-za-selo-lypivka-bijczyam/
atp-ursr-1947	Українська РСР. Адміністративно-територіальний поділ. Київ, Укрвидав політлітератури, 1947	1947					https://archive.org/details/ukrajinska-rsr-administraryvno--terytorialnyj-podil_1947
atp-ursr-1962	Українська РСР. Адміністративно-територіальний поділ на 1 січня 1962 року. Київ: Держполітвидав УРСР, 1962	1962					https://omeka.nibu.kyiv.ua/s/nibu/item/5709
atp-ursr-1987	Українська РСР. Адміністративно-територіальний устрій на 1 січня 1987 року. Упоряд. П. М. Гринюк, А. Я. Сидорін. Київ: Головна редакція УРЕ, 1987	1987					https://omeka.nibu.kyiv.ua/s/nibu/item/5848
azr-1-1846	Акты, относящіеся къ исторіи Западной Россіи. Т. 1: 1340-1506. СПб., 1846	1846					https://archive.org/details/azr_1
bilshovyk-kyiv	«Більшовик», щоденна газета, Київ	1919-1925					https://libraria.ua/
btsau-istoriia	Білоцерківський національний аграрний університет, «Історія університету»						https://btsau.com.ua/Istoriya-universitetu
buket-gruzke-2001	Букет Є. Історія українського села Грузьке. Київ: Логос, 2001	2001					https://commons.wikimedia.org/wiki/File:Gruzke_History_by_Yevhen_Buket.pdf
buket-kolonshchyna-2008	Букет Є. В. Історія українського села. Колонщина. Вінниця: Теза, 2008	2008					https://commons.wikimedia.org/wiki/File:Kolonshchyna_History_by_Yevhen_Buket.jpg
buket-komarivka-2004	Букет Є. В. Комарівка. Київ: Логос, 2004. 88 с., іл. (Історія українського села)	2004					https://commons.wikimedia.org/wiki/File:Komarivka_History_by_Yevhen_Buket.pdf
buket-koshyts-2024	Букет Є. В. Спадщина братів Кошиців: невідомі сторінки з історії двох сіл на Фастівщині // Всесвіт. 2024. № 1-4. С. 299-305	2024					https://www.vsesvit-journal.com/wp-content/uploads/1-4-2024-buket.pdf
buket-kozychanka-2003	Букет Є. Історія українського села. Козичанка. Київ: Логос, 2003	2003					https://commons.wikimedia.org/wiki/File:Kozychanka_History_by_Yevhen_Buket.pdf
buket-kraieznavstvo-2016	Букет Є. До проблеми датування населених пунктів на території сучасного Макарівського району Київської області // Краєзнавство: науковий журнал. 2016. Ч. 3-4 (96-97). С. 63-75	2016					https://nsku.org.ua/wp-content/uploads/2017/01/%D0%9A%D1%80%D0%B0%D1%94%D0%B7%D0%BD%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D0%BE_%E2%84%9634_2016.pdf
buket-narysy-2006	Ащенко Н. В., Букет Є. В. Нариси з історії Макарівського району. Київ: Логос, 2006	2006					https://commons.wikimedia.org/wiki/File:Narysy_z_istorii_Makarivskoho_raionu.pdf
byshiv-hromada	Бишівська сільська територіальна громада, офіційний сайт						https://byshiv-rada.gov.ua/
cdiak-1164	Метричні книги єврейських громад Київської губернії (Київський рабинат)	1850-1874	ЦДІАК	1164	2		https://uk.wikisource.org/wiki/Архів:ЦДІАК/1164
cdiak-1164-2-4	Метрична книга єврейської громади м-ка Бишів про смерть, 1854 рік	1854	ЦДІАК	1164	2	4	https://commons.wikimedia.org/wiki/File:%D0%A6%D0%94%D0%86%D0%90%D0%9A_1164-2-4._1854._%D0%9C%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%B0_%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0_%D1%94%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D0%B8_%D0%BC-%D0%BA%D0%B0_%D0%91%D0%B8%D1%88%D1%96%D0%B2_%D0%BF%D1%80%D0%BE_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C.pdf
cdiak-127	Київська духовна консисторія		ЦДІАК	127			https://uk.wikisource.org/wiki/Архів:ЦДІАК/127
cdiak-127-1009-164	Клірова відомість Миколаївської церкви с. Небелиця	1820	ЦДІАК	127	1009	164	
cdiak-127-1009-32	Клірова відомість Миколаївської церкви с. Небелиця	1805	ЦДІАК	127	1009	32	
cdiak-127-1009-56	Відомості про Козичанку: 78 дворів, 624 особи	1809	ЦДІАК	127	1009	56	
cdiak-127-1010-200	Відомості про школу в Козичанці: селянське товариство виділяло 60 руб., навчалося 30 хлопчиків і 2 дівчинки	1887	ЦДІАК	127	1010	200	
cdiak-127-1011-1480	Клірові відомості церков Київського повіту за 1851 рік	1851	ЦДІАК України	127	1011	1480	https://www.familysearch.org/search/catalog/1387665
cdiak-127-1011-2154	Клірова відомість Миколаївської церкви с. Небелиця	1841	ЦДІАК	127	1011	2154	
cdiak-127-1012	Метричні книги Київської духовної консисторії		ЦДІАК	127	1012		
cdiak-127-1012-2024	Метрична книга Покровської церкви с. Липівка (з приписними селами) за 1841 рік	1841	ЦДІАК	127	1012	2024	
cdiak-127-1012-2027	ЦДІАК України, ф. 127, оп. 1012, спр. 2027. Метрична книга Покровської церкви с. Забуяння Київського повіту, 1841	1841					https://www.familysearch.org/search/catalog/1387665
cdiak-127-1012-2355	Метрична книга Миколаївської церкви с. Небелиця за 1846 рік	1846	ЦДІАК	127	1012	2355	
cdiak-127-1014-244	Метричні книги церков св. Миколая с. Ясногородка і Різдва Пресвятої Богородиці с. Глібівка Київського повіту за 1856 рік	1856	ЦДІАК	127	1014	244	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1014
cdiak-127-1015	Сповідні розписи церков Київської єпархії		ЦДІАК	127	1015		https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1015
cdiak-127-1015-1866	Сповідний розпис церкви Різдва Богородиці містечка Ясногородка Київського повіту за 1866 рік, 5-та частина благочиння	1866	ЦДІАК	127	1015	1108-1110	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1015
cdiak-127-1015-242	Сповідні розписи церков м. Києва та Київського повіту	1816	ЦДІАК	127	1015	242	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1015
cdiak-127-1015-369	Сповідні розписи церков м. Києва та Київського повіту за 1826 рік	1826	ЦДІАК	127	1015	369	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1015
cdiak-127-1015-558	Сповідні розписи церков Радомишльського повіту за 1838 рік: Свято-Михайлівська с. Ніжиловичі, Миколаївська с. Небелиця та інші	1838	ЦДІАК	127	1015	558	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1015
cdiak-127-1017-72	Сповідний розпис церков Різдва Христового с. Козичанка Київського повіту та Йорданського дівочого монастиря на Подолі	1802	ЦДІАК	127	1017	72	
cdiak-127-1078	Метричні книги церков Київського повіту		ЦДІАК	127	1078		https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1078
cdiak-127-1078-163	Метрична книга про народження церкви Покрова Пресвятої Богородиці с. Липівка Київського повіту	1878-1884	ЦДІАК	127	1078	163	
cdiak-127-1078-182	Метрична книга церков Покрова Пресвятої Богородиці с. Липівка, св. Іллі м-ка Макарів, св. Георгія м-ка Мотижин, св. Миколая с. Наливайківка, Різдва Христового с. Ситняки, св. Миколая с. Фасова Київського повіту, 1896 рік		ЦДІАК	127	1078	182	
cdiak-127-1078-205	Метрична книга церков Вознесіння Господнього с. Халепʼя, Пресвятої Трійці с. Хамбиків, Покрова Пресвятої Богородиці с. Шибене, св. Георгія с. Шубівка, Різдва Пресвятої Богородиці м-ка Ясногородка Київського повіту за 1903 рік, 271 аркуш	1903	ЦДІАК	127	1078	205	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/1078
cdiak-127-1079	Метричні книги Київської духовної консисторії		ЦДІАК	127	1079		
cdiak-127-1973	Опис фонду 127, номер 1973		ЦДІАК	127	1973		
cdiak-127-2034	Опис фонду 127, номер 2034		ЦДІАК	127	2034		
cdiak-127-235-55	Справа про ремонт церкви Пресвятої Трійці с. Великий Карашин	1801	ЦДІАК	127	235	55	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/235
cdiak-127-235-79	Справа за скаргою дячка церкви Різдва Христова с. Козичанка Матвія Форсевича	1801	ЦДІАК	127	235	79	https://commons.wikimedia.org/wiki/File:ЦДІАК_127-235-79._1801._Справа_за_скаргою_дячка_церкви_Різдва_Христова_с._Козичанка_Матвія_Фросевича.pdf
cdiak-127-236-74	Справа про зарахування сіл Юрівка, Коптіївка і Красна Слобода до парафії церкви Пресвятої Трійці с. Великий Карашин	1802-1803	ЦДІАК	127	236	74	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/236
cdiak-127-237	Справа про пияцтво й негідну поведінку дячка Іоанна Мачуговського	1803	ЦДІАК	127		237	
cdiak-127-239-30	Справа за проханням жительки с. Гавронщина Меланії Бабиченкової (дівоче Єфименкова) про надання дозволу на другий шлюб	1805	ЦДІАК	127	239	30	https://uk.wikisource.org/wiki/Архів:ЦДІАК/127/239
cdiak-127-240	Скарга священника с. Бишів Феофана Самборського на кривди й образи дячку церкви Різдва Христового с. Козичанка Матвію Форсевичу	1806	ЦДІАК	127		240	
cdiak-127-247-36	Справа про заподіяння образ дячку Матвію Форсевичу священником Михаїлом Собиковським	1813	ЦДІАК	127	247	36	
cdiak-127-248	Визначення Климента Рубановича у священники до церкви Різдва Господнього с. Козичанка	1814-1815	ЦДІАК	127		248	
cdiak-127-257	Переміщення Демʼяна Пешковського у священники до церкви Різдва Христова с. Козичанка	1823-1824	ЦДІАК	127		257	
cdiak-127-261-65	Справа про відведення у селах Липівка і Козичанка ділянок для цвинтарів	1827-1831	ЦДІАК	127	261	65	
cdiak-127-261-66	Справа про заселення поміщиком Харлинським своїх підданих близько до церкви Різдва Пресвятої Богородиці с. Козичанка	1827	ЦДІАК	127	261	66	
cdiak-127-265	Переміщення Ієремії Махновича у священники до церкви Різдва Господнього с. Козичанка	1831-1832	ЦДІАК	127		265	
cdiak-127-416	Видача білета сину священника церкви Різдва Христового с. Козичанка Івану Борзаковському для отримання схвалення від парафіян		ЦДІАК	127		416	
cdiak-2-1-54	Втеча кріпаків шляхтича Харлінського з Козичанки	1757	ЦДІАК	2	1	54	
cdiak-2227-volynskyi-muzey	«Волинський музей»: Інвентар столових маєтків Фастівського ключа, що належали Київській і Чернігівській католицьким єпіскопіям	1784	ЦДІАК	2227	1	645	https://uk.wikisource.org/wiki/Архів:ЦДІАК/2227/1
cdiak-442-1-7625	Підпал винокурного заводу в Козичанці 9 квітня 1847 року	1847	ЦДІАК	442	1	7625	
cdiak-442-435-118	Про непокору селян сіл Людвинівки, Карашина та інших і про жорстоке поводження з селянами економа с. Людвинівки Лозинського	1848	ЦДІАК	442	435	118	https://commons.wikimedia.org/wiki/File:%D0%A6%D0%94%D0%86%D0%90%D0%9A_%D1%84%D0%BE%D0%BD%D0%B4_442_%D0%BE%D0%BF%D0%B8%D1%81_435.pdf
cdiak-442-810-132	Листування з ІІІ відділенням, київським губернатором, київським, бердичівським і сквирським земськими справниками про обшуки й арешт студентів Київського університету Рильських Ф. та Й., Василевського Г., Загурського І. та інших	1860-1862	ЦДІАК	442	810	132	
cdiak-491-75-88	Люстрація Рожевської державної маєтності	1861-1863	ЦДІАК	491	75	88	
cdiak-fs-perelik	Перелік оцифрованих справ ЦДІАК України, зроблених у рамках співпраці з міжнародною корпорацією FamilySearch		ЦДІАК				https://cdiak.archives.gov.ua/fs.php
cdiak-geo-kozy-006	База геопокажчика ЦДІАК, стаття «Козичанка»		ЦДІАК				https://cdiak.archives.gov.ua/baza_geog_pok/church/kozy_006.xml
cdiak-tserkva-andriivka	Картка географічного покажчика ЦДІАК: церква Вознесіння с. Андріївка Макарівської волості Київського повіту						http://cdiak.archives.gov.ua/baza_geog_pok/church/andr_003.xml
cdiak-tserkva-sytniaky	Картка географічного покажчика ЦДІАК: церква Різдва Христового с. Ситняки Радомисльського повіту						https://cdiak.archives.gov.ua/baza_geog_pok/church/sytn_002.xml
chaikovskyi-perepyska	П. И. Чайковский. Переписка с Н. Ф. фон Мекк, т. 3	1936					https://ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%BF%D0%B8%D1%81%D0%BA%D0%B0_%D1%81_%D0%9D._%D0%A4._%D1%84%D0%BE%D0%BD_%D0%9C%D0%B5%D0%BA%D0%BA_(%D0%A7%D0%B0%D0%B9%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9)
chervonyi-perets	«Червоний перець», сатиричний журнал, Харків						https://libraria.ua/
chornogorodka-rada-arhiv	Архівна копія сайту Чорногородської сільської ради, chornogorodka.rada.arhiv.org.ua						https://chornogorodka.rada.arhiv.org.ua/selo-chornogorodka-17-16-34-21-02-2019/
commons-andriivka	Andriivka, Makariv Raion - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Andriivka,_Makariv_Raion
commons-byshiv	Wikimedia Commons, Category:Byshiv, Fastiv Raion						https://commons.wikimedia.org/wiki/Category:Byshiv,_Fastiv_Raion
commons-chornohorodka	Chornohorodka - категорія на Wikimedia Commons	2026					https://commons.wikimedia.org/wiki/Category:Chornohorodka
commons-fon-mekk-01	Садибний будинок фон Мекка в Копилові, фотографія Сергія Венцеславського	2021					https://commons.wikimedia.org/wiki/File:Fon_Mekk_01.jpg
commons-havronshchyna	Havronshchyna - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Havronshchyna
commons-havronshchyna-mohyla	Grave of Petr Aleksandrovich Troubetskoy - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Grave_of_Petr_Aleksandrovich_Troubetskoy
commons-kodra	Kodra - категорія на Wikimedia Commons	2026					https://commons.wikimedia.org/wiki/Category:Kodra
commons-komarivka	Komarivka, Bucha Raion - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Komarivka,_Bucha_Raion
commons-kopyliv-herb	Герб і прапор Копилова, файли на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Kopyliv
commons-kopyliv-pamiatnyk	Братська могила 127 радянських воїнів та памʼятник на честь 211 воїнів-односельців, с. Копилів, фотографії						https://commons.wikimedia.org/wiki/Category:World_War_II_memorial_in_Kopyliv
commons-korolivka	Korolivka, Makariv Raion - категорія на Wikimedia Commons	2026					https://commons.wikimedia.org/wiki/Category:Korolivka,_Makariv_Raion
commons-kozychanka	Wikimedia Commons, Category:Kozychanka						https://commons.wikimedia.org/wiki/Category:Kozychanka
commons-lypivka	Вікісховище, файли символіки й памʼяток с. Липівка						https://commons.wikimedia.org/wiki/File:Lypivka_buch_gerb.png
commons-makovyshche-herb	Герб села Маковище на Вікісховищі						https://commons.wikimedia.org/wiki/File:Makovysche_s.png
commons-malyi-karashyn	Malyi Karashyn - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Malyi_Karashyn
commons-marianivka	Марʼянівка Макарівської громади - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Marianivka,_Makariv_Hromada
commons-marianivka-mohyla	Братська могила в Марʼянівці - знімки на Wikimedia Commons						https://commons.wikimedia.org/wiki/File:%D0%91%D1%80%D0%B0%D1%82%D1%81%D1%8C%D0%BA%D0%B0_%D0%BC%D0%BE%D0%B3%D0%B8%D0%BB%D0%B0_28_%D0%B2%D0%BE%D1%97%D0%BD%D1%96%D0%B2_%D0%9C%D0%B0%D1%80%27%D1%8F%D0%BD%D1%96%D0%B2%D0%BA%D0%B0.jpg
commons-motyzhyn	Motyzhyn - категорія на Wikimedia Commons	2026					https://commons.wikimedia.org/wiki/Category:Motyzhyn
commons-nebelytsia	Nebelytsia - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Nebelytsia
commons-novosilky	Вікісховище, Category:Novosilky, Boiarka Hromada						https://commons.wikimedia.org/wiki/Category:Novosilky,_Boiarka_Hromada
commons-ozerschyna	Ozerschyna - категорія на Wikimedia Commons	2026					https://commons.wikimedia.org/wiki/Category:Ozerschyna
commons-plakhtianka	Category:Plakhtianka на Вікісховищі						https://commons.wikimedia.org/wiki/Category:Plakhtianka
commons-sosnivka	Вікісховище, категорія «Sosnivka, Fastiv Raion»						https://commons.wikimedia.org/wiki/Category:Sosnivka,_Fastiv_Raion
commons-velykyi-karashyn	Velykyi Karashyn - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Velykyi_Karashyn
commons-velykyi-karashyn-herb	Герб і прапор села Великий Карашин						https://commons.wikimedia.org/wiki/File:V_karasyn_gerb.png
commons-vesela-sloboda	Весела Слобода на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Vesela_Sloboda
commons-wikiexpedition-makariv	Wikiexpedition to Makarivskyi raion of Kyiv Oblast - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Wikiexpedition_to_Makarivskyi_raion_of_Kyiv_Oblast
commons-yablunivka	Yablunivka, Fastiv Raion - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Yablunivka,_Fastiv_Raion
commons-yasnohorodka-herb	Герб села Ясногородка						https://commons.wikimedia.org/wiki/File:Yasnohor_mkr_gerb.png
commons-yasnohorodka-tserkva	Церква в Ясногородці, фотографія 28 серпня 2011 року	2011					https://commons.wikimedia.org/wiki/File:Jasnogorodka202.jpg
commons-yuriv	Yuriv - категорія на Wikimedia Commons	2026					https://commons.wikimedia.org/wiki/Category:Yuriv
commons-zabuiannia	Category:Zabuiannia на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Zabuiannia
commons-zavalivka-pamiatnyk	Memorial sign to Soviet soldiers-countrymen in Zavalivka - категорія на Wikimedia Commons						https://commons.wikimedia.org/wiki/Category:Memorial_sign_to_Soviet_soldiers-countrymen_in_Zavalivka
dako-1239-5-208	Звіт козичанського однокласного земського училища	1912	ДАКО	1239	5	208	
dako-1542	Плани земельних ділянок Київської губернії	1813-1893	ДАКО	1542	1		https://archium.dako.gov.ua/
dako-1542-1-1348	План церковних земельних ділянок с. Карашин, відмежованих від земель князя Лопухіна	1814	ДАКО	1542	1	1348	https://archium.dako.gov.ua/
dako-1542-1-1821	Плани церковних земельних ділянок с. Небелиця Радомисльського повіту	1837	ДАКО	1542	1	1821	https://archium.dako.gov.ua/files/26066/
dako-1542-1-694	План селянських земельних ділянок с. Великий Карашин Київського повіту, відмежованих від земель поміщиці Сабанської		ДАКО	1542	1	694	https://archium.dako.gov.ua/
dako-1542-1-695	План селянських земельних ділянок с. Великий Карашин Київського повіту, відмежованих від земель поміщика Озеровського		ДАКО	1542	1	695	https://archium.dako.gov.ua/
dako-1542-1-697	Плани селянських земельних ділянок с. Горобіївка Київського повіту, відмежованих від земель поміщиків	1865-1899	ДАКО	1542	1	697	
dako-1542-1-743	Плани чиншових земельних ділянок с. Гавронщина Київського повіту, відмежованих від земель графині Трубецької	1888	ДАКО	1542	1	743	https://archium.dako.gov.ua/files/24986/
dako-1542-1-744	План земельних ділянок с. Гавронщина, що належать княгині Трубецькій	б/д	ДАКО	1542	1	744	https://archium.dako.gov.ua/files/24987/
dako-1542-1-758	Плани викупних селянських земельних ділянок с. Завалівка Київського повіту, відмежованих від земель поміщика Півші	1870	ДАКО	1542	1	758	https://commons.wikimedia.org/wiki/File:%D0%94%D0%90%D0%9A%D0%9E_1542-1-758_%D0%9F%D0%BB%D0%B0%D0%BD%D0%B8_%D0%B2%D0%B8%D0%BA%D1%83%D0%BF%D0%BD%D0%B8%D1%85_%D1%81%D0%B5%D0%BB%D1%8F%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D1%85_%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85_%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA_%D1%81._%D0%97%D0%B0%D0%B2%D0%B0%D0%BB%D1%96%D0%B2%D0%BA%D0%B0_%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BF%D0%BE%D0%B2%D1%96%D1%82%D1%83%2C_%D0%B2%D1%96%D0%B4%D0%BC%D0%B5%D0%B6%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%85..._(1870).pdf
dako-1542-1-759	Плани викупних земельних ділянок с. Завалівка Київського повіту, відмежованих від земель поміщиці Карнович	1881	ДАКО	1542	1	759	https://commons.wikimedia.org/wiki/File:%D0%94%D0%90%D0%9A%D0%9E_1542-1-759_%D0%9F%D0%BB%D0%B0%D0%BD%D0%B8_%D0%B2%D0%B8%D0%BA%D1%83%D0%BF%D0%BD%D0%B8%D1%85_%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85_%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA_%D1%81._%D0%97%D0%B0%D0%B2%D0%B0%D0%BB%D1%96%D0%B2%D0%BA%D0%B0_%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BF%D0%BE%D0%B2%D1%96%D1%82%D1%83%2C_%D0%B2%D1%96%D0%B4%D0%BC%D0%B5%D0%B6%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%85_%D0%B2%D1%96%D0%B4_%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C..._(1881).pdf
dako-1542-1-763	Плани церковних земельних ділянок с. Карашин Київського повіту, відмежованих від земель поміщика Сабанського	1813-1831	ДАКО	1542	1	763	https://archium.dako.gov.ua/
dako-1542-1-768	Плани церковних земельних ділянок с. Козичанка Київського повіту, відмежованих від земель поміщика Харлінського	1813-1830	ДАКО	1542	1	768	https://commons.wikimedia.org/wiki/File:ДАКО_1542-1-768_Плани_церковних_земельних_ділянок_с._Козичанка_Київського_повіту,_відмежованих_від..._(1813-1830).pdf
dako-1542-1-769	План земельної ділянки селянина Нестеренка-Руденка у с. Козичанка Київського повіту	1914	ДАКО	1542	1	769	https://commons.wikimedia.org/wiki/File:ДАКО_1542-1-769_План_земельної_ділянки_селянина_Нестеренка-Руденка_у_с._Козичанка_Київського_повіту_(1914).pdf
dako-1542-1-770	Плани чиншових земельних ділянок с. Козичанка Київського повіту, відмежованих від земель Кржижанівського	1888	ДАКО	1542	1	770	https://commons.wikimedia.org/wiki/File:ДАКО_1542-1-770_Плани_чиншових_земельних_ділянок_с._Козичанка_Київського_повіту,_відмежованих_від_земель..._(1888).pdf
dako-1542-1-801	План церковних земельних ділянок с. Липівка Київського повіту	1813	ДАКО	1542	1	801	
dako-1542-1-807	Плани церковних земельних ділянок с. Липівка Київського повіту, відмежованих від земель поміщиків	1813	ДАКО	1542	1	807	
dako-1542-1-808	Плани чиншових земельних ділянок с. Липівка Київського повіту, відмежованих від земель Барського	1889	ДАКО	1542	1	808	
dako-1542-1-846	План викупних селянських земельних ділянок с. Озерщина	1890	ДАКО	1542	1	846	https://archium.dako.gov.ua/
dako-1636	Київський нотаріальний архів: справи про застави майна в Київському повіті	1893-1913	ДАКО	1636			
dako-1636-5-336	Про заставу при с. Бишів в хуторі Марʼянівка, що належить Андрієвським Ф. К. і Є. С., в Київському повіті	1893	ДАКО	1636	5	336	
dako-1636-5-338	Про заставу майна при м. Бишів в хуторі Марʼянівка, що належить Мегедову І. Л., в Київському повіті	1893	ДАКО	1636	5	338	
dako-25-chynsh	Про визнання чиншових прав у маєтку княгині Є. І. Трубецької, с. Гавронщина	1888-1890	ДАКО	25	1		
dako-280-2	Ревізькі казки Васильківського повіту		ДАКО	280	2		
dako-280-2-1131	Ревізькі казки однодворців села Чорногородки Васильківського повіту, Веприковського сільського общества	1854	ДАКО	280	2	1131	https://uk.wikisource.org/wiki/Архів:ДАКО/280/2/1131
dako-280-2-12	Ревізькі казки селян шляхтича Харлінського, Київський повіт	1795	ДАКО	280	2	12	
